"Länderarbeitskreis Energiebilanzen"
"Vollständige Energiebilanz "
"Einheit: Terajoule"
" "
Land;Jahr;Bilanzzeile;Anm;Insgesamt;"Kohle (roh)";Briketts;Koks;"Andere Steinkohlen produkte";"Kohle (roh)";Briketts;"Koks, Hartbraun kohle, andere Braunkohlen produkte";"Erdöl (roh)";Rohbenzin;"Ottokraft stoffe";"Dieselkraft stoffe";"Flugturbinen kraftstoffe";"Heizöl leicht";"Heizöl schwer";Petrolkoks;"Andere Mineralöl produkte";Flüssiggas;Raffineriegas;"Kokereigas, Stadtgas";"Gichtgas, Konvertergas";"Erdgas, Erdölgas";"Grubengas, sonstige Gase";"Klärgas, Deponiegas";Wasserkraft;Windkraft;Solarenergie;"Biomasse 1)";"Sonstige erneuerbare Energien 2)";Strom;Kernenergie;Fernwärme;"Andere Energieträger";Stand
Baden-Württemberg;2017;"Umw-Einsatz: Sonstige Energieerzeuger";;10420.8632681066;0;0;0;0;0;0;0;0;0;0;0;0;717.144255680765;0;0;0;0;0;0;0;9703.71901242579;0;0;0;0;0;0;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Einsatz: Insgesamt";;1185965.9976001;160283.80944;0;0;0;0;0;182.812707598456;635963.071056534;424.594790919325;0;1.01826876084079;0;2289.95742317205;1149.09056189449;647.839162440921;2524.79218095277;674.624316936635;1164.84987667886;0;0;50916.6222596318;0;2361.057227217602;15824.3369144025;7133.693976;17947.317816;63886.89193414621;1.116;9874.64823;200668.658181818;0;12045.195275;05.03.2020
Baden-Württemberg;2017;"Umw-Ausstoß: Kokereien";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Ausstoß: Steinkohlen- und Braunkohlenbrikettfabriken";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Ausstoß: Wärmekraftwerke der allgemeinen Versorgung (ohne KWK)";LAK2);60455.676744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60455.676744;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Ausstoß: Heizkraftwerke der allgemeinen Versorgung (nur KWK)";;46418.44806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14957.355132;0;31461.092928;0;05.03.2020
Baden-Württemberg;2017;"Umw-Ausstoß: Industriewärmekraftwerke";;13033.657044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13033.657044;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Ausstoß: Kernkraftwerke";;66220.6572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66220.6572;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Ausstoß: Wasserkraftwerke";;22754.1900344025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22754.1900344025;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Ausstoß: Windkraft-, Fotovoltaik- und andere Anlagen";;36003.0498408109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36003.0498408109;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Ausstoß: Heizwerke";LAK2);17055.409284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17055.409284;0;05.03.2020
Baden-Württemberg;2017;"Umw-Ausstoß: Hochöfen, Konverter";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Ausstoß: Raffinerien";;631409.471594736;0;0;0;0;0;0;0;0;8185.356872;218383.519805089;185712.457360488;0;94075.815547776;17223.774801688;19569.4544;30265.569501105;30991.74020019;27001.7831064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Ausstoß: Sonstige Energieerzeuger";;4173.01318079348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4173.01318079348;0;0;0;05.03.2020
